velocity flux_norm flux_err cont_err
-1495.5926896967553 -388.72306094192766 -7.146192830363062 -13.922633372861483
-1488.2161168316545 -398.5848077887286 -7.339835487054857 -13.991467017651036
-1480.8395439666658 -415.93920218211304 -7.607724685444637 -14.06812077903193
-1473.462971101565 -424.1898057682664 -7.798020066602282 -14.153302304672199
-1466.0863982365202 -428.0055477399961 -7.9533779199398955 -14.247799864995693
-1458.7098253714753 -431.9859207577786 -8.116183782330205 -14.352493737718417
-1451.3332525063745 -456.04680599613283 -8.474006916726742 -14.468369548448827
-1443.9566796413858 -456.0752840333311 -8.615025079050751 -14.596533970378141
-1436.5801067762848 -464.51848521850894 -8.842867026752625 -14.73823328426467
-1429.20353391124 -461.892369689815 -8.972766151074122 -14.894875425894725
-1421.8269610461953 -474.6776948583046 -9.260719211347602 -15.068056311285515
-1414.4503881810942 -478.67020006624875 -9.473120758591172 -15.259591442239243
-1407.0738153161055 -460.7677858734968 -9.4733294438124 -15.471554074042153
-1399.6972424510047 -453.7838764958184 -9.588432436291816 -15.70632159709444
-1392.3206695859599 -440.71775957886473 -9.644097018890566 -15.966632279091808
-1384.944096720915 -426.07038537792084 -9.684986837102151 -16.25565518313838
-1377.5675238558142 -402.39130999420615 -9.620654343676055 -16.577076989811797
-1370.1909509908255 -403.44233541442765 -9.855237515624095 -16.93521071151884
-1362.8143781257245 -376.83962383925905 -9.75343650318368 -17.335133048588954
-1355.4378052606799 -348.41326804345374 -9.613346827142466 -17.7828596296599
-1348.061232395635 -313.4094369140813 -9.356615953169573 -18.28557095907591
-1340.684659530534 -271.3601270211059 -8.945576301905648 -18.85190711317858
-1333.3080866655453 -252.09809306137436 -8.871295691166805 -19.492356965086195
-1325.9315138004445 -237.66811702280947 -8.876007825548085 -20.219779399287884
-1318.5549409353996 -204.12025790923934 -8.490755888484822 -21.05011197023466
-1311.1783680703547 -188.9600012125815 -8.448832460869237 -22.003350794165744
-1303.801795205254 -159.92489033981252 -8.05617564249359 -23.104931192714478
-1296.4252223402652 -134.37962482667737 -7.673416041234779 -24.387714465075355
-1289.0486494751644 -112.20729505595574 -7.307103413648829 -25.894915947363017
-1281.6720766101196 -87.5937901361309 -6.750971009777349 -27.68453946435858
-1274.2955037450747 -58.88235201053374 -5.811353414226228 -29.836307344956772
-1266.918930879974 -37.284023028524196 -4.878940807528848 -32.46289428025553
-1259.5423580149852 -20.82381028119865 -4.359353976306996 -35.728943562732205
-1252.1657851498842 -16.544131986668518 -4.5558166596633685 -39.88497664655079
-1244.7892122848393 -8.159487026644618 -3.842840571426469 -45.33184715253238
-1237.4126394197947 -5.9728976141087875 -3.886824025397599 -52.753507618614016
-1230.0360665546937 -8.720232233606584 -5.2256243569395595 -63.42067933582576
-1222.659493689705 -10.22041356430591 -6.674722678337801 -79.99218529141069
-1215.2829208246042 -8.429056494100292 -8.047987008104277 -109.12301216015193
-1207.9063479595593 -10.530212843160637 -13.83602935569623 -173.49248702685065
-1200.5297750945147 -44.61197138072946 -102.4915138981239 -432.9865457913846
-1193.1532022294136 32.67917583857067 23.04572695670207 839.9953839341388
-1185.776629364425 4.807028216943656 8.128987869900431 211.54191278859827
-1178.400056499324 4.9336971534813685 5.525249169235841 120.60395863008124
-1171.0234836342793 4.668418918264183 4.448518541745812 84.21209138027479
-1163.6469107692344 2.128014904733504 2.9702851668882992 64.6495581090489
-1156.2703379041334 1.8009055830550589 2.4723843870307753 52.45791769047255
-1148.893765039145 1.787902097628587 2.2469244490701623 44.14721431317718
-1141.5171921740439 2.334665951364338 2.2109327081747545 38.12961529570352
-1134.1406193089992 1.1778011001766573 1.7435616521306372 33.5788989893687
-1126.7640464439542 1.2786301519378311 1.5940549014810204 30.022697324021774
-1119.3874735788534 0.9800433367169802 1.3740182247705068 27.171374718001505
-1112.0109007138647 0.5679618987342419 1.2040588005615005 24.8374563632818
-1104.6343278487639 0.6982002795176513 1.1142499825640306 22.894235804844527
-1097.257754983719 1.7068666448013423 1.3640206270036925 21.253001091367683
-1089.8811821186741 0.7636597489570112 1.0282765137160117 19.849790140279403
-1082.5046092535733 1.1265334976254595 1.0889634774116312 18.637326549318747
-1075.1280363885846 0.8266505060247639 1.0657771938777978 17.579916391178116
-1067.7514635234836 0.6724752143359644 0.9751631688145118 16.65011058198743
-1060.3748906584387 0.4197212451938153 0.8596268442345362 15.826458900655423
-1052.998317793394 0.5086800803450513 0.8516925315367461 15.091960528071807
-1045.621744928293 0.38411819545410464 0.7825987249693489 14.4329714004596
-1038.2451720633044 0.37445598429220717 0.7390772675229678 13.838418541105344
-1030.8685991982036 0.650128226914511 0.7940945690233419 13.299225196488138
-1023.4920263331587 0.7165790034796524 0.7962215486764164 12.807883570577756
-1016.1154534681139 0.7758915192625083 0.7899173004421045 12.358132726671057
-1008.7388806030131 0.6615369463092177 0.739756666617938 11.944712622579004
-1001.3623077380244 0.31639624961372537 0.6187239317074605 11.563174062856463
-993.9857348729234 0.38460891540756525 0.6259025936956323 11.209730266658747
-986.6091620078787 0.9093563729524443 0.7397362629791514 10.881139786121286
-979.2325891428338 0.5845582489416559 0.6466248431626068 10.574613307785734
-971.8560162777329 0.6390827989193397 0.6489674081709329 10.287738837689265
-964.4794434127443 0.47792465692968855 0.5941081874534858 10.018421173259814
-957.1028705476433 0.4687774828436219 0.5788425967840577 9.764832577519016
-949.7262976825984 0.9254741432607503 0.6731346336846257 9.52537231030266
-942.3497248175537 0.6414795002894685 0.597006260998277 9.298633216471625
-934.9731519524529 0.4397411875395862 0.5360264073596154 9.083373977875112
-927.5965790874642 0.799226578833146 0.6101440380190076 8.878495941689511
-920.2200062223633 0.7212583991147824 0.5802660721575422 8.6830236700645
-912.8434333573184 0.5860235238646972 0.5439272719550186 8.49608853392585
-905.4668604922736 0.5759815602676744 0.5313774956828912 8.316914810856815
-898.0902876271726 0.9073645234794604 0.5953316519420853 8.144807853776854
-890.7137147621839 1.1636350418630155 0.6336594218343704 7.979143980536998
-883.3371418970831 1.0889680834919035 0.6121649751841858 7.819361800343443
-875.9605690320383 0.8560923181265344 0.560821934959153 7.664954745149949
-868.5839961669935 1.045914488921709 0.5890259862899266 7.515464615651374
-861.2074233018926 0.517049983195809 0.47347129100501933 7.370475984995569
-853.8308504369039 0.9651440820840866 0.5593505803665829 7.229611330171571
-846.454277571803 0.9961441554054467 0.5587923099851219 7.092526782845908
-839.0777047067583 1.3143078720717465 0.6057099018852734 6.958908409236223
-831.7011318417134 0.8636722359185155 0.5195169276215216 6.828468943040168
-824.3245589766125 1.5533908285291793 0.6288546331076664 6.700944907463881
-816.9479861116238 1.0667388144866756 0.5471878241617373 6.576094072171208
-809.5714132465229 1.4634847603074908 0.6029620945311034 6.453693199115456
-802.1948403814781 1.0381201103296624 0.5306504801799324 6.333536038021306
-794.8182675164334 1.2871025220412349 0.564116697768039 6.21543153781862
-787.4416946513323 0.7462344036264261 0.4679827311709071 6.099202245101229
-780.0651217863436 1.1671834282420042 0.5364251062643692 5.984682864542896
-772.6885489212428 0.9410642721606778 0.4937444658884287 5.871718959470985
-765.3119760561979 1.3001102386999432 0.5464087754291512 5.760165773570056
-757.9354031911531 1.1621172495945202 0.5201633421960685 5.649887156873219
-750.5588303260523 0.903908890578344 0.47436949961991715 5.540754581147851
-743.1822574610636 0.7337335335234371 0.4395473563936232 5.432646231261467
-735.8056845959627 0.7634308022019741 0.43857007077625454 5.325446160339159
-728.4291117309178 0.9477916710556793 0.47033262350968214 5.219043497518673
-721.052538865873 1.0911846491618986 0.48932553489609143 5.113331697729142
-713.6759660007722 1.3087334509548416 0.5185408682364769 5.008207823441603
-706.2993931357835 0.8020079474328955 0.434373744705246 4.903571848494954
-698.9228202706825 1.352125100150534 0.5173034578874821 4.799325974046017
-691.5462474056377 0.525850161813788 0.374852862047458 4.695373946398972
-684.169674540593 1.2508569252054833 0.4936110620879107 4.59162036574299
-676.793101675492 1.528514767762527 0.5293770007762659 4.487969973868384
-669.4165288105033 1.1538571518253065 0.47473378899241947 4.384326907402167
-662.0399559454024 1.1431814794054043 0.47064740518531456 4.280593901048405
-654.6633830803576 1.0596294544095313 0.4553622337928666 4.1766714225788455
-647.2868102153128 0.805859257787569 0.41061094700871936 4.0724567175158155
-639.910237350212 1.0700620479696765 0.4510797872515415 3.967842736529249
-632.5336644852233 1.2001926947713875 0.46624992343649274 3.8627169118406286
-625.1570916201223 1.0522436903069377 0.4420995946898792 3.756959739921848
-617.7805187550775 1.3446737757025014 0.4808354253304971 3.650443115600813
-610.4039458900328 1.0989028168750261 0.445443989721364 3.543028345862018
-603.0273730249318 0.9917983080950481 0.4267796981790666 3.4345637484681353
-595.6508001599432 1.0184310656656752 0.4252553583113442 3.324881707817584
-588.2742272948421 1.1381555843141107 0.4428107379420853 3.213795013813001
-580.8976544297974 0.776065006693947 0.3854182189049787 3.101092241815182
-573.5210815647526 1.0556431217449769 0.42698356243821967 2.9865318313588114
-566.1445086996516 1.1433901622037224 0.4368773881737162 2.8698343695637147
-558.7679358346629 1.228595724940307 0.4460636589465041 2.750672349719271
-551.3913629695621 0.8465867971278828 0.3886141243168898 2.628656300279358
-544.0147901045174 1.1497162974428172 0.4303741435207688 2.5033155623277104
-536.6382172394725 0.9251980684789296 0.3968714095907979 2.374070940816187
-529.2616443743716 1.130701175130271 0.424834831570546 2.240194582463579
-521.8850715093829 0.791649336751899 0.37195690984078394 2.1007489329489704
-514.508498644282 1.1449114502495996 0.4218995360032185 1.9544896824201436
-507.13192577923724 1.404923160439581 0.45392008992339467 1.7997027948810005
-499.7553529141925 1.4552173290090196 0.4581262523297072 1.633911091475177
-492.37878004909146 0.9754074134773123 0.39353509216060684 1.4532947060713057
-485.00220718410276 1.2008622542124114 0.4230822625359903 1.2513873021389783
-477.62563431900185 0.9339494913240988 0.38365996615005254 1.015494399642111
